monthly_salary,monthly_expenses,current_savings,annual_return_pct,goal_type,goal_cost,months_to_reach
399021.85,318443.31,4155938.4,1.38,property,5779181.22,19
58192.75,26176.2,418242.12,0.41,house,12247936.78,347
131479.75,75588.32,459347.55,7.44,property,5613502.79,71
88421.62,40235.52,1293413.98,5.36,property,2306223.44,19
366875.03,159910.05,4060425.28,3.56,house,10502349.68,29
361585.24,227492.06,2496080.77,7.65,car,1271805.52,0
151314.94,106305.25,2320343.27,5.94,house,7667283.47,78
134806.23,128015.25,2760838.56,1.49,house,9220956.35,467
238428.53,225461.65,1689394.46,13.69,property,3468543.06,44
23077.23,20055.04,431070.57,13.63,property,6088791.16,196
336478.78,300058.64,6264489.12,3.22,house,4456561.28,0
92250.16,46159.77,1672851.02,10.74,property,6787528.38,63
258734.28,230801.9,4013531.32,4.33,house,1950421.17,0
158647.27,68035.42,3463439.23,4.57,house,3871140.95,4
70220.72,47303.81,1637248.82,7.43,house,12711380.36,182
117648.63,99391.2,1360529.71,11.29,property,7027977.19,107
325608.36,205458.5,588434.44,10.56,car,2192309.31,13
295202.35,276889.57,6852967.27,11.26,house,2719088.82,0
169938.33,86443.41,504059.13,5.16,property,5542555.98,53
242132.83,204227.03,5464212.99,1.52,car,1337249.11,0
255427.81,233946.71,2010766.23,8.54,property,974127.81,0
333065.03,298303.9,2415575.53,5.72,car,399762.98,0
34140.61,32350.15,95146.17,3.29,property,1517480.37,390
192384.63,144729.36,3431249.65,13.24,house,9429094.66,53
296107.68,260944.38,4654257.64,11.67,property,3560869.14,0
381578.18,141042.66,3393267.53,6.21,car,2181990.43,0
57754.76,43974.94,754691.85,13.69,house,2317426.2,52
124834.95,116211.86,2843273.09,11.54,car,1758091.22,0
263847.7,186880.05,135242.77,11.02,car,2475405.99,27
319051.68,150950.8,6354114.56,7.76,property,2119635.14,0
350484.26,191762.46,1241170.03,12.61,car,910004.66,0
393930.69,371286.13,5107378.75,11.18,car,1754326.81,0
29796.46,10694.43,564929.86,3.33,house,1713044.63,52
120839.65,51484.35,1220849.46,1.59,car,1347741.12,2
315646.47,207677.32,826140.33,7.05,property,825237.78,0
317626.26,276394.73,3975038.36,6.41,car,433815.9,0
202013.13,119383.77,3326416.8,6.86,house,2492124.66,0
50700.38,36249.68,79922.74,3.85,property,4890235.16,224
290618.06,168134.94,4166708.73,4.13,property,5040700.94,7
57687.82,44481.21,1180698.0,9.11,property,5906299.37,128
101708.77,63154.32,557755.18,4.75,house,6882857.49,122
297252.75,159781.98,2229563.8,3.57,car,1811006.28,0
200221.8,81036.74,410203.32,6.05,property,6040969.99,42
328472.33,224616.75,4623301.23,7.86,house,10545179.07,39
176107.28,153946.72,3977755.72,5.92,property,885845.6,0
129299.17,69494.34,321491.22,7.1,car,1744819.87,22
105213.05,43656.16,2134663.58,5.15,house,9250350.06,84
326744.12,280050.13,7642256.95,11.46,property,5562325.33,0
231561.11,165658.11,3655875.06,9.71,car,696915.36,0
287025.53,153670.83,2340920.48,0.09,car,1545906.41,0
172298.05,74971.15,2618263.29,0.43,property,4478620.16,19
162953.87,101387.86,615610.83,4.36,house,11987280.87,138
235685.55,94503.83,297579.37,2.2,property,873218.69,5
51000.98,31409.86,519004.06,8.5,house,5187752.4,126
306878.39,128364.32,3166348.94,3.97,property,4948506.88,10
220234.96,117837.08,1165580.86,13.78,car,316911.59,0
134539.36,64140.35,443123.58,3.58,house,3119788.64,36
209006.42,127158.05,648015.4,7.46,car,1400577.16,9
336674.6,280692.38,582383.73,12.06,car,1259683.11,11
194706.62,77243.53,1462919.42,6.01,house,11078235.98,66
178723.7,74903.82,89461.48,4.55,property,3950726.76,35
282051.82,159954.86,2956208.41,1.48,house,9449762.39,51
219105.77,128715.88,1631590.7,4.75,house,12018091.23,90
49024.16,35784.44,624298.98,2.71,house,6239846.42,277
384124.87,283202.13,1361552.15,1.44,house,4163169.34,27
248911.61,200654.91,3915931.35,2.48,property,4205877.69,6
306689.41,247169.06,3304187.76,12.94,property,5322438.73,20
394882.14,214786.25,9202078.12,4.43,house,2421864.49,0
188039.06,99978.92,1239585.11,0.79,property,1056429.92,0
195462.14,72822.23,1729781.81,4.02,property,6981875.25,39
345011.48,248064.99,4198661.25,6.48,property,7656736.08,27
300790.0,112680.03,6562395.22,8.0,car,1007358.88,0
200739.03,88428.88,298091.2,1.45,house,14762205.34,120
52045.07,38392.41,48891.71,9.91,house,8574925.47,219
251726.05,143065.68,5545646.55,5.42,house,10665119.23,36
39898.9,29067.62,320451.35,4.62,property,5587845.09,257
127975.85,100363.81,2016584.33,12.69,car,1033396.48,0
241441.02,104992.32,2027066.07,13.55,property,5466013.68,20
69001.63,53496.99,140298.0,7.82,property,6437464.68,193
329010.22,247438.66,6545663.33,10.34,property,7343359.89,6
55512.13,41760.31,677454.66,0.26,house,3933549.46,229
101393.21,93139.9,1183309.69,3.17,car,640879.38,0
132401.0,108949.09,1613247.0,7.56,property,7127616.24,114
34344.05,18959.93,631634.51,1.83,house,3582412.28,160
88721.47,67934.68,1330269.41,12.64,property,3782550.54,53
176126.27,133119.36,1004047.41,6.22,house,11657280.73,148
317844.14,155871.33,1824439.31,13.52,house,13703653.56,50
93726.15,70949.2,1283117.09,6.17,house,12004674.5,207
211104.54,126915.31,821069.2,2.8,property,1537989.01,9
115001.22,84492.25,2412588.37,7.76,car,1865082.15,0
216045.57,91777.6,434900.38,2.24,house,13721633.82,97
75992.49,46544.15,1726087.19,3.11,house,13442501.95,248
373579.33,223750.91,3554568.19,5.24,house,14926092.24,61
162466.82,59611.11,3629479.7,11.75,property,3014677.67,0
75498.74,28159.66,1662294.05,6.61,car,1969450.54,6
198261.85,142591.7,4310327.52,0.27,car,2136918.82,0
228545.61,179714.76,2894876.7,1.56,house,4708143.06,34
66302.37,32691.29,1016736.36,8.72,car,543887.37,0
363955.82,257696.52,143561.81,7.22,car,1880797.52,16
130683.36,45861.83,1106572.41,7.99,car,1761616.86,7
52533.3,49107.75,85330.04,7.36,property,6398092.52,390
212896.58,77111.27,4462302.71,0.61,house,14744032.2,74
116387.1,41869.72,2202565.38,4.83,property,5428283.0,37
59392.27,41523.63,1078581.09,1.87,house,8871185.56,311
329133.37,149773.28,6154603.84,6.5,property,4088983.79,0
89265.64,38465.59,1534037.28,13.21,car,945573.66,0
36646.38,17212.14,36856.83,13.07,property,3486680.42,99
329854.31,209140.78,289908.46,9.06,house,6319151.38,42
316719.8,275381.2,2523050.85,1.74,house,7398843.67,101
172008.27,105585.9,3948534.09,4.75,car,1391647.1,0
209058.89,189111.8,2605421.59,11.22,property,3683747.46,23
183630.72,173909.11,795296.5,4.11,car,476151.6,0
271149.3,144765.94,3921610.44,5.97,property,3829312.86,0
189909.27,149285.52,4154943.94,8.61,house,5206497.36,15
392410.37,360524.13,706726.34,8.93,house,8426661.26,127
304961.23,136010.28,227920.36,11.88,property,6359839.77,31
33223.61,12968.5,620762.13,5.13,house,14317806.01,298
32306.42,14281.47,348849.33,5.19,house,11801640.37,293
238090.28,158967.15,2274432.86,9.09,car,2413144.11,2
29847.07,13778.27,370876.3,12.79,car,875908.69,23
118910.11,73458.37,2843469.31,4.0,house,4202407.6,24
71576.8,28232.12,296596.56,9.99,car,2083129.08,34
387673.27,365166.82,6213687.25,9.93,property,4566285.21,0
358706.04,308780.34,6127925.39,12.98,property,1805682.57,0
157367.03,76251.4,3720657.18,11.09,car,2038820.73,0
29987.93,20464.15,265509.17,11.25,property,1473284.22,72
356013.65,138649.11,3402009.31,10.04,house,8596891.34,20
312282.53,263567.59,552745.42,13.61,property,1056237.65,9
197016.62,130112.93,606817.22,11.61,property,5298454.47,51
89145.99,82884.27,925588.47,12.75,car,2129059.77,56
216878.81,115482.49,843052.84,13.09,car,1061250.78,2
377543.54,334864.34,7665043.36,3.51,property,7672637.2,1
124291.39,90112.93,1832835.51,1.31,property,1764769.26,0
377810.66,167187.47,5973031.17,10.09,property,3032146.9,0
371093.3,139054.81,7693041.82,1.14,property,6282667.77,0
120569.24,57449.44,1655571.61,8.65,car,1395683.73,0
258322.32,135310.01,5930978.28,6.76,property,3545693.95,0
192346.77,146792.93,729750.32,5.82,house,4254310.68,62
250530.9,134672.76,4319330.4,10.28,house,14667550.73,54
69691.14,39885.92,939410.69,4.47,house,3154045.77,60
190846.48,82927.87,231788.21,13.24,property,3636010.58,27
385820.62,343915.29,7532556.72,13.07,property,2845361.91,0
309986.12,201168.38,3829381.37,6.98,house,8214498.69,31
54218.66,31769.17,594970.34,3.37,property,3146713.17,93
39205.35,25363.38,830218.35,9.16,house,5357603.15,132
23107.41,9577.98,74277.37,3.7,house,11812066.32,419
159056.19,93898.66,2176963.87,2.73,property,2664512.73,7
166812.55,103459.25,2201353.56,11.55,property,5602989.8,35
65148.19,60916.79,615890.71,11.13,house,9030729.82,237
158930.42,69382.73,2297992.58,5.62,car,399667.38,0
72073.82,39627.95,819469.24,6.4,property,7198487.69,124
73116.77,66450.08,558957.32,5.5,property,6044895.2,288
133709.05,73783.87,2657994.89,7.45,property,4721931.95,26
200459.19,72161.73,1593600.48,1.53,house,9379978.91,58
322766.83,253434.75,5329864.03,0.37,house,5084660.9,0
269124.57,251156.23,3736359.73,3.19,car,1583751.21,0
84794.58,61680.86,1261205.75,11.78,car,2107654.84,22
112034.69,77700.78,1883583.48,2.67,house,5734848.53,91
77543.88,59266.8,763734.14,10.85,house,13283039.07,190
299618.16,116062.72,992928.5,2.9,house,14974658.72,70
201780.97,116244.98,4632982.32,6.44,property,3067452.63,0
154629.06,125743.4,2675421.22,9.01,property,2482716.37,0
203988.44,188567.41,1365937.9,4.18,house,11910852.63,299
287862.36,219968.28,3378373.89,6.72,property,7502752.81,43
322254.04,165662.59,942586.14,9.47,house,13592766.23,61
169922.33,94660.47,3152661.47,2.05,car,932786.75,0
291373.69,162533.52,3093522.23,3.59,house,4388821.91,10
334621.65,171553.7,4513521.49,3.8,car,1654489.48,0
242995.59,120398.2,3906400.78,7.43,property,2246274.2,0
58075.22,31835.45,658439.11,9.54,car,311399.18,0
229133.97,207929.87,2237671.72,13.09,house,7945555.03,80
95793.27,88929.53,738376.91,9.04,car,1735057.21,63
108243.68,85860.17,2209036.33,0.52,car,1219346.96,0
338289.86,307963.38,295041.66,11.71,house,4015207.03,77
304621.22,266048.38,2116266.78,0.52,house,9167485.23,172
60774.26,57115.43,415056.59,13.85,property,4432389.01,163
357918.79,154091.18,4331212.51,3.82,car,1027505.01,0
297825.31,220084.33,5136401.35,0.2,house,12175363.47,89
235756.86,189635.67,992979.14,11.99,house,12664362.64,114
215806.65,86763.48,3466316.74,2.59,car,1350399.02,0
375613.65,133004.07,3457818.62,6.25,house,14379470.11,39
134739.42,105599.26,36980.26,9.15,property,2272269.33,61
273758.72,172259.12,1049372.98,9.61,property,6273807.86,41
282310.34,206997.51,6373227.98,5.15,car,782082.92,0
70756.14,31267.94,1269763.89,8.48,house,10976199.81,126
366862.82,295108.23,7061331.42,11.56,car,1796752.22,0
246409.5,202652.69,3107755.94,7.39,house,2554386.75,0
234384.11,90719.5,3080646.82,7.08,property,4524951.19,9
82524.12,71192.87,875100.06,9.52,property,4873607.59,128
54557.82,35802.22,1058891.55,6.35,property,3615684.3,84
234286.25,160551.29,3782885.39,4.31,car,1171087.16,0
330252.23,263370.43,4583725.98,0.63,house,10955195.85,90
225642.13,87132.47,4842560.55,13.81,house,1928420.76,0
175369.44,142291.82,3223266.44,13.7,property,7728369.25,49
162295.15,143598.78,1747089.63,12.84,house,6571214.71,82
279437.53,208760.94,3616817.67,9.15,house,3101547.76,0
397281.77,232741.64,1214224.25,13.7,car,1963594.71,5
391826.46,245989.57,6762241.11,5.94,house,12615365.9,31
114054.57,63607.76,754538.7,13.12,property,6241174.47,65
32242.58,24056.79,475841.05,13.11,car,829465.85,24
45570.54,32189.5,488269.48,9.41,car,838415.13,19
36809.96,22578.41,476844.85,10.56,car,608298.27,7
397523.71,194984.15,8742949.11,8.07,property,4984382.56,0
275562.12,149464.64,1995716.36,2.01,property,4409382.91,19
177152.88,91250.09,2366981.21,8.28,property,7336832.49,43
257877.39,156356.31,3067425.51,13.61,property,5535068.94,17
318605.75,172442.39,3183442.09,2.09,house,3982366.21,6
224412.74,110990.26,1213684.5,12.01,car,2072707.55,7
367601.65,252700.98,8538235.1,7.8,car,1154521.91,0
116898.35,64078.74,221836.87,6.3,house,2748263.95,42
295342.19,137124.12,1902912.8,9.43,property,796606.66,0
47658.04,39689.16,672074.15,9.4,car,1354667.25,44
350400.06,192642.45,8048154.84,0.21,car,2416570.62,0
64580.16,61334.56,742290.84,3.4,property,5778264.37,460
170720.18,84267.24,1317748.15,3.96,house,8704276.72,73
156518.63,79345.08,1926368.23,6.96,car,2066196.57,2
294517.16,237668.68,2263540.72,2.84,house,7088057.3,72
233759.4,112850.73,818659.33,3.65,property,4843571.95,32
178679.67,78877.58,1414565.27,5.32,car,1398463.26,0
268751.03,204494.8,1659763.93,11.5,property,5312708.41,38
206426.32,93085.92,3938492.9,2.37,property,4599097.47,6
89938.15,79471.04,2137628.9,13.4,property,753678.18,0
341745.01,313418.74,5480623.79,10.7,house,3356135.66,0
259666.63,101472.72,941216.61,3.06,house,6538209.35,34
254777.39,191096.5,3769804.64,6.76,house,1712378.85,0
222240.74,132633.97,89213.56,10.11,property,7831095.11,65
26514.19,22216.09,428914.46,11.29,car,535436.14,13
56599.28,24866.24,260717.18,7.37,house,5108883.95,105
170820.64,98022.17,1664588.69,7.91,property,2193929.39,7
279935.82,240386.56,4392097.04,12.02,car,505701.11,0
164120.33,111867.84,221030.45,0.13,car,481909.47,5
341225.32,251464.07,2712910.15,13.68,car,2268540.67,0
369277.84,180155.85,7987683.2,9.69,property,4066252.16,0
37693.55,14874.21,837325.83,12.59,property,5435819.3,89
88154.71,75835.67,33128.04,2.9,car,1954959.83,132
290830.33,171292.55,537018.15,2.27,car,1546731.02,9
342788.12,259223.57,4447161.13,5.37,property,1549629.46,0
395621.62,310364.43,4754987.55,13.64,car,514908.73,0
108214.72,42810.93,1571716.01,8.59,property,3475272.87,23
313950.87,115463.4,2059470.19,13.9,house,4579868.26,11
230154.34,132397.71,1025960.89,8.2,house,2656870.59,15
255074.04,211413.81,4365491.36,1.15,car,1135999.98,0
317878.31,140682.17,2972456.97,5.05,car,311429.49,0
137141.63,77615.38,887909.05,1.86,car,1248154.94,6
231654.31,152304.49,574278.05,1.25,property,1197981.95,8
247256.64,134670.36,2286063.22,4.09,house,12018782.93,72
295440.66,202590.14,7039028.79,3.4,property,1771871.93,0
164678.17,71355.72,1190153.89,6.9,car,667856.28,0
124865.51,66160.16,2345473.64,5.06,car,1885978.8,0
208404.93,150051.81,2290094.87,1.9,car,2387411.62,2
146242.54,105603.98,2822164.45,4.61,house,7313318.98,76
332943.39,246585.24,4749580.66,4.21,property,7604591.92,27
96323.57,51871.2,2229870.41,13.56,house,11420803.93,82
260502.94,242439.1,4888958.85,4.56,house,12522675.96,154
169315.35,70830.15,2291245.1,8.29,property,1849454.09,0
311694.8,114126.95,5440047.06,13.2,car,1264600.9,0
130705.86,100081.63,2569046.35,11.14,house,10585198.31,94
72888.07,38754.55,442019.51,2.16,house,12152536.3,263
48106.75,45433.0,553306.19,5.61,property,7426218.16,421
350460.82,210620.09,309233.98,13.56,property,7216261.37,39
224024.27,164189.23,456912.39,10.77,property,5485204.15,60
83208.63,59711.07,1124754.9,9.03,property,3497133.1,60
306019.46,284423.68,3161466.51,0.15,house,4497014.57,61
303804.15,208043.88,5013967.24,3.09,house,6780311.28,16
313490.05,220431.77,3765385.01,4.83,car,1362096.39,0
132264.24,119345.8,272532.48,11.64,property,1562563.83,62
138518.33,86324.57,687718.0,6.76,house,2817910.92,35
294357.7,182933.98,474558.82,0.63,property,1363139.5,8
342688.4,253172.01,5569147.12,2.3,property,2329347.1,0
86292.23,38493.36,1159454.73,13.42,car,2055062.73,14
259308.92,119757.2,4090699.33,5.54,property,5105802.03,7
94983.29,66993.79,886389.6,9.87,car,912358.63,1
287428.7,237877.38,3982712.62,11.19,property,1902198.77,0
143874.27,89853.83,905901.66,12.08,property,7744373.0,74
139093.56,81117.08,1310408.25,1.6,house,12914490.34,173
254597.82,213414.83,4313834.31,4.16,property,4926262.74,11
275401.83,148141.8,1576880.78,1.64,house,10861393.31,69
214113.45,128670.08,708461.83,5.37,car,1370674.47,8
224204.12,202119.25,5007975.41,2.43,car,1377212.46,0
73312.68,39497.06,793538.19,0.75,house,14349866.33,354
204151.39,95354.44,1881185.69,7.86,property,4212273.86,19
280184.73,167936.64,5647796.68,6.84,car,1543875.16,0
322434.74,155515.98,253008.76,3.15,house,3770821.2,21
193782.13,154155.8,3562116.49,7.7,car,1559970.92,0
121797.79,82318.7,2896527.57,7.59,car,1972009.09,0
187719.3,90316.48,1915433.77,10.3,property,6135091.21,33
133129.4,126418.02,1436942.28,4.88,car,1265953.79,0
397703.92,324279.42,2261625.0,11.35,property,5668501.9,32
347198.5,248648.67,3567815.12,8.63,car,2089765.7,0
326067.39,225653.18,4165425.82,8.36,car,1012037.95,0
287540.43,150556.15,1844926.56,12.01,property,6613856.79,27
71523.78,57223.07,706534.07,0.83,house,13205142.47,666
68217.5,59325.17,408776.6,9.96,car,1975241.89,88
276969.13,178278.17,3838297.12,3.76,house,6564826.43,24
48696.18,40260.02,898601.47,5.64,property,2586692.66,104
375807.72,214752.58,8570707.73,4.58,car,2211597.08,0
341923.58,138781.65,7977626.69,8.89,property,3186670.47,0
44065.66,29552.84,230371.68,6.02,car,1388372.88,64
142688.76,74220.39,1874281.44,1.83,house,12142099.32,131
359778.77,290468.26,396702.94,8.77,house,1719798.26,18
373184.49,165988.77,4088771.73,13.89,house,4231295.79,1
281664.92,120875.89,4393953.74,2.23,house,2760089.79,0
156965.45,62700.21,2503318.12,9.08,car,1171951.45,0
136093.51,104746.39,764770.99,9.18,property,1213877.58,12
101100.05,40112.78,1440504.6,7.27,house,1625373.79,3
284326.9,238910.06,6743016.55,5.91,car,1350940.53,0
106999.81,43184.98,2069693.47,1.44,house,13393351.43,156
72109.13,58702.33,1303429.33,1.86,property,1571398.0,18
221593.15,78684.37,3456960.56,6.16,property,2097915.89,0
304342.16,274497.29,4499949.67,6.19,car,490713.67,0
58176.74,46626.76,823187.76,5.38,house,5745799.52,201
73135.47,37751.11,147877.67,7.75,property,5908847.29,110
128269.91,117337.15,82578.34,11.86,house,4273517.2,154
250632.21,116089.81,2356450.15,9.05,car,1388752.98,0
62842.59,40831.94,895778.06,7.4,car,2471141.57,50
374891.27,160899.48,7745079.78,7.96,house,8875808.99,5
85652.72,54184.66,2029694.52,1.02,property,1006494.27,0
119630.41,44729.34,173613.94,11.05,property,2648658.5,29
290799.05,235624.58,2956206.61,5.63,property,4524236.12,22
254097.88,131236.64,1889920.39,7.16,car,2443489.45,5
79043.31,43161.61,1112494.43,10.69,property,5607917.64,71
